Id,SalePrice_pred
1461,118324.19
1462,150231.98
1463,176608.67
1464,196314.28
1465,191558.68
1466,173241.62
1467,185114.0
1468,163683.26
1469,212221.34
1470,120970.11
1471,196860.69
1472,97969.7
1473,82332.05
1474,150072.91
1475,112076.39
1476,345251.25
1477,240165.01
1478,323713.94
1479,303761.49
1480,424127.9
1481,294511.33
1482,212997.11
1483,177810.8
1484,177009.93
1485,207297.19
1486,207002.17
1487,305416.74
1488,238063.7
1489,190184.05
1490,244718.39
1491,200626.95
1492,93570.42
1493,219952.95
1494,274364.01
1495,268673.09
1496,237784.46
1497,173761.64
1498,167057.76
1499,171022.51
1500,159315.79
1501,191331.24
1502,155429.99
1503,282794.08
1504,244916.03
1505,224915.77
1506,190019.79
1507,241174.09
1508,188405.38
1509,166479.92
1510,140598.61
1511,145023.41
1512,180172.81
1513,149805.85
1514,137865.6
1515,207595.0
1516,177275.55
1517,167329.64
1518,126607.84
1519,219733.7
1520,122215.37
1521,116267.09
1522,206039.81
1523,96077.46
1524,119528.71
1525,114295.79
1526,99443.44
1527,95347.39
1528,154869.14
1529,145841.15
1530,224310.99
1531,137051.81
1532,112654.74
1533,141604.37
1534,126624.98
1535,146088.72
1536,104594.46
1537,37330.04
1538,169942.02
1539,216639.88
1540,109170.87
1541,138549.4
1542,125801.63
1543,177777.29
1544,85839.1
1545,126666.8
1546,137214.44
1547,140979.37
1548,136795.26
1549,119291.27
1550,129772.47
1551,124432.29
1552,143546.27
1553,160297.8
1554,115291.92
1555,146751.22
1556,86336.1
1557,96546.62
1558,100586.12
1559,80336.31
1560,140111.88
1561,114991.59
1562,123141.46
1563,120301.4
1564,157208.72
1565,153278.8
1566,249268.12
1567,81287.22
1568,223983.56
1569,105978.82
1570,158182.67
1571,103670.63
1572,149039.95
1573,255511.66
1574,124842.26
1575,245186.02
1576,242140.29
1577,194400.45
1578,155015.69
1579,139727.11
1580,195352.93
1581,166592.12
1582,139593.89
1583,278724.97
1584,228138.01
1585,154054.55
1586,54048.67
1587,111634.17
1588,158954.0
1589,112507.12
1590,141445.84
1591,83387.83
1592,125038.88
1593,151380.19
1594,129120.03
1595,116148.86
1596,220330.72
1597,172102.19
1598,201610.42
1599,199098.35
1600,183255.55
